baseline_conservative_selected_count,baseline_conservative_selected_rate,best_formula_conservative_selected_count,best_formula_conservative_selected_rate,formula,mean_delta_canopy_dew_margin_hat,mean_delta_dew_margin_air_hat,mean_delta_rh_hat,mean_delta_vpd_hat,policy,risk_combo_id,row_count
0,0.0,0,0.0,baseline_current_energy,-3.352761256125714e-09,-2.483526856389418e-09,2.4835268563894175e-08,-0.03000003476937599,canopy_dew_first_v1,canopy_dew_lt0+dew_or_humidity,6
8,1.0,8,1.0,baseline_current_energy,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,8
7,0.21875,7,0.21875,baseline_current_energy,-2.570450296363047e-09,-2.235174170750476e-09,2.2351741707504758e-08,-0.03000003129243839,canopy_dew_first_v1,canopy_dew_lt1+dew_or_humidity,32
3,1.0,3,1.0,baseline_current_energy,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,3
15,0.375,15,0.375,baseline_current_energy,-0.0133687507711351,-0.009300000536441809,0.11625000670552262,-0.19275000938773165,canopy_dew_first_v1,dew_or_humidity,40
6,0.75,6,0.75,baseline_current_energy,0.03795,0.039,-0.54,0.27937500000000004,canopy_dew_first_v1,dry_or_high_vpd,8
4,1.0,4,1.0,baseline_current_energy,0.044550000000000006,0.04875,-0.675,0.3375,canopy_dew_first_v1,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,4
4,1.0,4,1.0,baseline_current_energy,0.03795,0.04875,-0.675,0.3375,canopy_dew_first_v1,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,4
21,1.0,21,1.0,baseline_current_energy,0.03795,0.039,-0.54,0.3375,canopy_dew_first_v1,dry_vent+dry_or_high_vpd,21
