component,max,mean,p50,p75,p90,p95,policy,resolved_risk_family,row_count
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_or_high_vpd,8
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_or_high_vpd,8
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v1,dry_or_high_vpd,8
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_or_high_vpd,8
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_or_high_vpd,8
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_or_high_vpd,8
final_score,0.063875000100583,0.05993750010058302,0.058625000100583025,0.05993750010058302,0.063875000100583,0.063875000100583,severity_aware_non_additive_v1,dry_or_high_vpd,8
base_final_score,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,severity_aware_non_additive_v1,dry_vent,25
raw_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,severity_aware_non_additive_v1,dry_vent,25
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
raw_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
projected_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,severity_aware_non_additive_v1,dry_vent,25
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v1,dry_vent,25
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v1,dry_vent,25
final_score,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,severity_aware_non_additive_v1,dry_vent,25
base_final_score,0.05108333255102249,0.016590277457402863,0.0003749997317792353,0.049208332551022416,0.049208332551022416,0.049489582551022426,severity_aware_non_additive_v2,canopy_dew_lt0,18
raw_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,severity_aware_non_additive_v2,canopy_dew_lt0,18
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,canopy_dew_lt0,18
raw_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,severity_aware_non_additive_v2,canopy_dew_lt0,18
projected_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,severity_aware_non_additive_v2,canopy_dew_lt0,18
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,canopy_dew_lt0,18
projected_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,severity_aware_non_additive_v2,canopy_dew_lt0,18
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v2,canopy_dew_lt0,18
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,canopy_dew_lt0,18
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,canopy_dew_lt0,18
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,canopy_dew_lt0,18
final_score,0.10708333255102254,0.07259027745740292,0.056374999731779285,0.10520833255102247,0.10520833255102247,0.10548958255102248,severity_aware_non_additive_v2,canopy_dew_lt0,18
base_final_score,0.05445833210398765,0.03751835361762505,0.04508333322365099,0.04827083266381926,0.05108333255102249,0.05209583241691203,severity_aware_non_additive_v2,dew_or_humidity,75
raw_smoothness,0.04416666666666669,0.001339552978902551,9.483543950139506e-10,0.008333333780368268,0.011666666666666714,0.01583333278695742,severity_aware_non_additive_v2,dew_or_humidity,75
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dew_or_humidity,75
raw_energy_proxy,0.23666666174928352,0.18457777388559451,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,severity_aware_non_additive_v2,dew_or_humidity,75
projected_smoothness,0.04416666666666669,0.001339552978902551,9.483543950139506e-10,0.008333333780368268,0.011666666666666714,0.01583333278695742,severity_aware_non_additive_v2,dew_or_humidity,75
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dew_or_humidity,75
projected_energy_proxy,0.23666666174928352,0.18457777388559451,0.23666666174928352,0.23666666174928352,0.23666666174928352,0.23666666174928352,severity_aware_non_additive_v2,dew_or_humidity,75
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v2,dew_or_humidity,75
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dew_or_humidity,75
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dew_or_humidity,75
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dew_or_humidity,75
final_score,0.1104583321039877,0.0935183536176251,0.10108333322365104,0.10427083266381931,0.10708333255102254,0.10809583241691208,severity_aware_non_additive_v2,dew_or_humidity,75
base_final_score,0.007875000100582952,0.003937500100582969,0.002625000100582975,0.003937500100582969,0.007875000100582952,0.007875000100582952,severity_aware_non_additive_v2,dry_or_high_vpd,8
raw_smoothness,0.017500000223517387,0.008750000223517435,0.005833333556850784,0.008750000223517435,0.017500000223517387,0.017500000223517387,severity_aware_non_additive_v2,dry_or_high_vpd,8
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
raw_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
projected_smoothness,0.017500000223517387,0.008750000223517435,0.005833333556850784,0.008750000223517435,0.017500000223517387,0.017500000223517387,severity_aware_non_additive_v2,dry_or_high_vpd,8
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v2,dry_or_high_vpd,8
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_or_high_vpd,8
final_score,0.063875000100583,0.05993750010058302,0.058625000100583025,0.05993750010058302,0.063875000100583,0.063875000100583,severity_aware_non_additive_v2,dry_or_high_vpd,8
base_final_score,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,severity_aware_non_additive_v2,dry_vent,25
raw_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,severity_aware_non_additive_v2,dry_vent,25
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
raw_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
projected_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,severity_aware_non_additive_v2,dry_vent,25
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,severity_aware_non_additive_v2,dry_vent,25
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,severity_aware_non_additive_v2,dry_vent,25
