bonus_vector_id,canopy_dew_lt0_factor,canopy_dew_lt1_factor,conservative_risk_selected_count,conservative_risk_selected_rate,conservative_selected_count,dew_or_humidity_factor,dominant_component_after_reweight,dry_or_high_vpd_factor,dry_vent_factor,factor_vector_id,family_extreme_rate_count,family_target_penalty,mean_energy_relief,mixed_risk_combo_spread,mixed_risk_spread,nonrisk_conservative_selected_count,p95_energy_relief,policy,previous_rule_ppo_suppression_detected,risk_row_count,risk_type_switch_spread,row_count,rule_suppression_detected,selected_id_vs_zero_bonus_winner_mismatch_count,single_risk_spread,switch_from_ppo_to_conservative_count,switch_from_previous_to_conservative_count,switch_from_rule_to_conservative_count,switch_relative_to_runtime_count,switch_relative_to_zero_bonus_count,switch_to_conservative_count
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,93,0.7380952380952381,93,1.0,raw_energy_proxy,0.9,0.9,canopy_lt0=1.0|canopy_lt1=0.8|dew=1.0|dry_vent=0.9|dry=0.9,2,0.3999999999999999,0.010407407189566622,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,False,126,0.625,720,False,248,0.375,0,93,0,341,93,93
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,93,0.7380952380952381,93,1.0,raw_energy_proxy,0.8,0.9,canopy_lt0=1.0|canopy_lt1=0.8|dew=1.0|dry_vent=0.9|dry=0.8,2,0.3999999999999999,0.010407407189566622,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,False,126,0.625,720,False,248,0.375,0,93,0,341,93,93
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,93,0.7380952380952381,93,1.0,raw_energy_proxy,1.0,0.8,canopy_lt0=1.0|canopy_lt1=0.8|dew=1.0|dry_vent=0.8|dry=1.0,2,0.3999999999999999,0.010407407189566622,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,False,126,0.625,720,False,248,0.375,0,93,0,341,93,93
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,93,0.7380952380952381,93,1.0,raw_energy_proxy,0.9,0.8,canopy_lt0=1.0|canopy_lt1=0.8|dew=1.0|dry_vent=0.8|dry=0.9,2,0.3999999999999999,0.010407407189566622,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,False,126,0.625,720,False,248,0.375,0,93,0,341,93,93
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,93,0.7380952380952381,93,1.0,raw_energy_proxy,0.8,0.8,canopy_lt0=1.0|canopy_lt1=0.8|dew=1.0|dry_vent=0.8|dry=0.8,2,0.3999999999999999,0.010407407189566622,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,False,126,0.625,720,False,248,0.375,0,93,0,341,93,93
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,118,0.9365079365079365,118,0.8,raw_energy_proxy,1.0,1.0,canopy_lt0=1.0|canopy_lt1=0.8|dew=0.8|dry_vent=1.0|dry=1.0,3,0.5999999999999999,0.021973544510189815,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,True,126,0.33333333333333337,720,False,248,0.25,0,118,0,366,118,118
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,118,0.9365079365079365,118,0.8,raw_energy_proxy,0.9,1.0,canopy_lt0=1.0|canopy_lt1=0.8|dew=0.8|dry_vent=1.0|dry=0.9,3,0.5999999999999999,0.021973544510189815,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,True,126,0.33333333333333337,720,False,248,0.25,0,118,0,366,118,118
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,118,0.9365079365079365,118,0.8,raw_energy_proxy,0.8,1.0,canopy_lt0=1.0|canopy_lt1=0.8|dew=0.8|dry_vent=1.0|dry=0.8,3,0.5999999999999999,0.021973544510189815,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,True,126,0.33333333333333337,720,False,248,0.25,0,118,0,366,118,118
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,118,0.9365079365079365,118,0.8,raw_energy_proxy,1.0,0.9,canopy_lt0=1.0|canopy_lt1=0.8|dew=0.8|dry_vent=0.9|dry=1.0,3,0.5999999999999999,0.021973544510189815,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,True,126,0.33333333333333337,720,False,248,0.25,0,118,0,366,118,118
dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,1.0,0.8,118,0.9365079365079365,118,0.8,raw_energy_proxy,0.9,0.9,canopy_lt0=1.0|canopy_lt1=0.8|dew=0.8|dry_vent=0.9|dry=0.9,3,0.5999999999999999,0.021973544510189815,1.0,0.33333333333333337,0,0.04733333234985669,canopy_dew_first_v1,True,126,0.33333333333333337,720,False,248,0.25,0,118,0,366,118,118
