hour_of_day,humidity_gate_valid,indoor_abs_humidity_g_m3,indoor_dew_point_c,inside_minus_outside_abs_humidity_g_m3,inside_minus_outside_dew_point_c,missing_humidity_gate_fields,outdoor_abs_humidity_g_m3,outdoor_dew_point_c,outside_air_dryer,resolved_risk_family,rh_air,rh_out,risk_combo_id,step,temp_air,temp_out,ventilation_allowed_after_warmup
0.0,True,14.212611917882564,16.82828436626625,2.7226629810952065,3.447408644794656,[],11.489948936787357,13.380875721471593,True,dew_or_humidity,90.0,85.0,dew_or_humidity,0,18.5,15.9,True
18.25,True,12.108958662940244,14.183492230927941,0.1892974192666852,0.27520865350834356,[],11.91966124367356,13.908283577419597,False,dew_or_humidity,90.12450674242925,92.00444349938051,dew_or_humidity,73,15.799621997959754,15.199144792074431,False
12.75,True,13.855829220794304,16.759538589958968,2.8616469613115765,3.908999594023598,[],10.994182259482727,12.85053899593537,True,dry_vent,61.295667010719875,68.98604569587246,dry_vent+dry_or_high_vpd,147,24.707863796716055,18.654535028193973,True
13.0,True,14.140352979483874,17.146013983076244,3.0956069882861748,4.2082854531941045,[],11.044745991197699,12.93772852988214,True,dry_vent,58.33907553642014,67.98595009349808,dry_vent+dry_or_high_vpd,148,25.95084847817154,18.97956609003153,True
13.25,True,14.287755989418478,17.329732793540355,3.195804036258089,4.309987115884319,[],11.09195195316039,13.019745677656037,True,dry_vent,57.73331210615125,67.00146411191459,dry_vent+dry_or_high_vpd,149,26.323899759732676,19.29964749147351,True
13.5,True,14.194793295562352,17.200460214862648,3.0936828326294563,4.183996391070902,[],11.101110462932896,13.016463823791746,True,dry_vent,58.95467966631317,68.26781133907421,dry_vent+dry_or_high_vpd,150,25.831774430129,18.99572780273358,True
13.75,True,14.016280544738624,16.96958690001688,2.910342448366455,3.962195090687727,[],11.105938096372169,13.007391809329151,True,dry_vent,60.15452053990635,69.51792513347154,dry_vent+dry_or_high_vpd,151,25.246369424841415,18.69569913026815,True
5.0,True,11.947471364921109,13.964832067664917,0.40312253935431386,0.5975327150743546,[],11.544348825566795,13.367299352590562,True,dew_or_humidity,90.0845941016909,94.22479174056669,dew_or_humidity,212,15.585123215722355,14.28357067762543,True
5.25,True,12.103606001334406,14.169824837110962,0.4120496665741431,0.5851889805979518,[],11.691556334760262,13.58463585651301,True,dew_or_humidity,90.78455297380845,92.97964867849872,dew_or_humidity,213,15.671714618823822,14.70861129695146,True
5.5,True,12.35764951553932,14.513905541703439,0.45562672279069716,0.6319449763439966,[],11.902022792748623,13.881960565359442,True,dew_or_humidity,90.32892516923759,92.2347317393092,dew_or_humidity,214,16.09868061948349,15.133651916275733,True
9.75,True,10.232722520864833,11.90461340319255,1.9821281963469737,3.4263310756496246,[],8.25059432451786,8.478282327542926,True,dry_or_high_vpd,54.403473946942555,55.39874384094403,dry_or_high_vpd,327,21.488572192599968,17.514020835325123,True
10.0,True,12.115981114195584,14.664764973123587,4.138498561278393,6.65987898065074,[],7.977482552917191,8.004885992472847,True,dry_vent,53.458179694769285,52.148432991733635,dry_vent+dry_or_high_vpd,328,24.75448627619811,17.96406384402141,True
10.25,True,12.120649712590644,14.698868159702675,4.427522882668215,7.205012460367636,[],7.69312682992243,7.493855699335039,True,dry_vent,51.87587327345088,49.0098110333721,dry_vent+dry_or_high_vpd,329,25.29541262081237,18.39845473961147,True
